timestamp,snr,sigma,nmse,ber,x_true_0,x_true_1,x_true_2,x_true_3,x_true_4,x_true_5,x_true_6,x_true_7,x_true_8,x_true_9,x_true_10,x_true_11,x_true_12,x_true_13,x_true_14,x_true_15,x_true_16,x_true_17,x_true_18,x_true_19,x_pred_0,x_pred_1,x_pred_2,x_pred_3,x_pred_4,x_pred_5,x_pred_6,x_pred_7,x_pred_8,x_pred_9,x_pred_10,x_pred_11,x_pred_12,x_pred_13,x_pred_14,x_pred_15,x_pred_16,x_pred_17,x_pred_18,x_pred_19
2025-01-08 18:53:49.526964,-15,5.623413251903491,-2.186642197654815,0.15,-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-0.2019915988572925,0.0410231765479999,-0.2932599059402749,0.1124164944777249,-0.712757318232,0.2286570618569999,-0.09539339646785,0.077070576407,0.361383905204,0.04625607049225,0.3590365113245,-0.12028687596825,-0.611541414532875,-0.719340590239,0.3559507062945,-0.4393377133062999,-0.2081558904245,-0.148717729236225,0.5830450119300001,-1.042358130475
2025-01-08 18:53:50.690634,-15,5.623413251903491,-3.412481419296993,0.15,1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0.16594966824355,-0.7269977239385,0.132659570121,-0.6654995701425,-0.055087847772,-0.4352592783675,-0.4993422557925,0.1716175030931999,-0.085826185552875,0.5660985193355,0.733023722915,-0.5092701917455,-0.49717643266025,0.077793409864975,-0.6620579351875,0.49165263706125,0.327773407993,0.5994646215739999,0.205191369918,-0.366234195763
2025-01-08 18:53:51.792265,-15,5.623413251903491,-4.569063641148923,0.05,-1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-0.73788334277,0.39762691704725,0.6605299329075001,0.6661972192475,-0.1522152783733749,0.565052581574,-0.514296103726,0.148258777046225,0.4266144189614999,-0.01672169625325,0.7414238004624999,-0.860242139665,0.4655287357375,0.1470147500785,0.648170666495,-0.36494695198875,0.1432055879452499,-0.8329247002750001,0.5789156993295,-1.04605461175
2025-01-08 18:53:52.853285,-15,5.623413251903491,-2.265598498208266,0.1,-1,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-0.4088849391739499,0.1112049633782225,0.04936942363475,-0.2645283882979,0.1889443260379749,0.0035506365884999,-0.038628463986875,-0.26658564446915,-0.40581471274325,0.802304995765,-0.12636158671625,-0.588817083514,-0.75323701145,-0.25334442367495,-0.25691252788425,-0.24627044766575,-0.754584434715,0.181679312005625,-0.13901224129695,-0.064863076788575
2025-01-08 18:53:54.030609,-15,5.623413251903491,-3.303881086176644,0.0,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,-0.5215775258037749,-0.135889462728475,-0.20517088013025,0.6906508138045001,-0.4349664542872061,0.5968189029425,0.29689848463625,0.28707732090525,0.35275931883475,0.0637358422670325,-0.11553147279825,-0.36892742277025,-0.57215220480775,0.0069946794214999,0.484751155646,1.16289939025,0.333752349885325,-0.0141192657105,0.3787612386627499,0.351980330533
2025-01-08 18:53:55.144012,-15,5.623413251903491,-2.8449936853941,0.1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-0.1453698853621,-0.96784127045,-0.1408402286196249,-0.5563148958642501,-0.55673611405,0.09564620053075,0.300236845727575,0.05656696592525,0.21545081792685,-0.326917759524325,0.95290148645,-0.38413778526475,-0.15982347532,-0.09185179347725,-0.471240609365875,-0.425710173945,0.12627022654265,0.2745238073297,0.238185716354975,-0.47691820309725
2025-01-08 18:53:56.237886,-15,5.623413251903491,-3.190624742970524,0.15,1,-1,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,0.654111141007,-0.3754926614935,0.342992868453225,0.3457179620297499,-0.52097506010375,-0.1882748284895,-1.30498886,0.4793503703927499,-0.4557921365555,0.7360409977305,0.1484320207326,-0.192193703644,-0.862318883575,-0.878723568675,0.3390796119417,-0.4261733873194999,-0.9017645784425,-0.838707214895,0.5482121351404999,-0.138636704618275
2025-01-08 18:53:57.343807,-15,5.623413251903491,-4.236488081020629,0.1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-0.62397897758,-0.490884327405,-0.4004821943045,0.25392854359275,-0.467746250195,-0.1418079620337,-0.248589301245,-0.539275802441,0.936691939425,1.1384593562499998,0.0480513165422,0.64215712589875,-0.367152292982675,-0.5560194324231249,0.395520411512,0.103385805145225,-1.2315118930999998,0.593915215412,-0.6170855619925,0.7745874898402499
2025-01-08 18:53:58.427093,-15,5.623413251903491,-3.494841617648252,0.0,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,-1,0.29276726752625,-0.2134938372312,0.257016856011825,-0.09958047099105,0.521976256410625,-0.2160785509625,-0.269906485809975,-0.2901651057215,0.7199077064794501,0.04979441874875,-0.9504268927,0.52858316234,0.42732238970915,0.329584144728,-0.389927139672425,-0.0542512485137999,0.5933627811775,0.1712712541816,-0.619139274365,-0.42076099954875
2025-01-08 18:53:59.527158,-15,5.623413251903491,-3.016148089764884,0.05,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,0.09363820764005,-0.020390578036825,-0.2175211934858125,-0.043938001135525,-0.4006207752145,0.4161035653074999,-0.431742462149,0.752869243825,-0.424353233034,-0.10592738963325,-0.0541235459982499,-0.4575668903242499,0.6126738483099999,-1.0515698992500002,0.310496649464,0.0033093702492499,0.6945229826825,0.4120559294635,-0.3515240381349999,0.35215654168275
